indicator_code,indicator_label,spatial_level,region_or_country,year,numeric_value,value,ci_low,ci_high,disagg_dim1,disagg_dim1_code,source_file,TimeDimensionBegin,TimeDimensionEnd,Region name,Category
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2018,72.72727,73,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2018,12/31/2018,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2018,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2018,12/31/2018,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2018,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2018,12/31/2018,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2018,9.09091,9,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2018,12/31/2018,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2018,18.18182,18,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2018,12/31/2018,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2019,72.72727,73,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2019,12/31/2019,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2019,18.18182,18,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2019,12/31/2019,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2019,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2019,12/31/2019,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2019,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2019,12/31/2019,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2019,9.09091,9,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2019,12/31/2019,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2020,54.54545,55,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2020,12/31/2020,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2020,27.27273,27,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2020,12/31/2020,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2020,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2020,12/31/2020,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2020,18.18182,18,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2020,12/31/2020,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,SEAR,2020,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2020,12/31/2020,SE Asia,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2017,14.81481,15,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2017,12/31/2017,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2017,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2017,12/31/2017,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2017,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2017,12/31/2017,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2017,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2017,12/31/2017,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2017,85.18519,85,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2017,12/31/2017,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2018,14.81481,15,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2018,12/31/2018,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2018,3.7037,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2018,12/31/2018,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2018,3.7037,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2018,12/31/2018,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2018,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2018,12/31/2018,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2018,77.77778,78,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2018,12/31/2018,W. Pacific,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,WPR,2019,22.22222,22,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2019,12/31/2019,W. Pacific,Coordination
